+-------------+------+--------+-------+-----------+
|  series id  | year | period | value | footnotes |
+-------------+------+--------+-------+-----------+
| LNU03032229 | 2014 |  M12   |  6341 |           |
| LNU03032229 | 2014 |  M11   |  6413 |           |
| LNU03032229 | 2014 |  M10   |  6580 |           |
| LNU03032229 | 2014 |  M09   |  6766 |           |
| LNU03032229 | 2014 |  M08   |  7200 |           |
| LNU03032229 | 2014 |  M07   |  7366 |           |
| LNU03032229 | 2014 |  M06   |  7164 |           |
| LNU03032229 | 2014 |  M05   |  7243 |           |
| LNU03032229 | 2014 |  M04   |  7105 |           |
| LNU03032229 | 2014 |  M03   |  8110 |           |
| LNU03032229 | 2014 |  M02   |  8479 |           |
| LNU03032229 | 2014 |  M01   |  8437 |           |
| LNU03032229 | 2013 |  M12   |  7662 |           |
| LNU03032229 | 2013 |  M11   |  7882 |           |
| LNU03032229 | 2013 |  M10   |  8011 |           |
| LNU03032229 | 2013 |  M09   |  8216 |           |
| LNU03032229 | 2013 |  M08   |  8391 |           |
| LNU03032229 | 2013 |  M07   |  8683 |           |
| LNU03032229 | 2013 |  M06   |  8800 |           |
| LNU03032229 | 2013 |  M05   |  8655 |           |
| LNU03032229 | 2013 |  M04   |  8608 |           |
| LNU03032229 | 2013 |  M03   |  9148 |           |
| LNU03032229 | 2013 |  M02   |  9826 |           |
| LNU03032229 | 2013 |  M01   | 10435 |           |
| LNU03032229 | 2012 |  M12   |  9104 |           |
| LNU03032229 | 2012 |  M11   |  8600 |           |
| LNU03032229 | 2012 |  M10   |  8892 |           |
| LNU03032229 | 2012 |  M09   |  8935 |           |
| LNU03032229 | 2012 |  M08   |  9552 |           |
| LNU03032229 | 2012 |  M07   |  9692 |           |
| LNU03032229 | 2012 |  M06   |  9626 |           |
| LNU03032229 | 2012 |  M05   |  9419 |           |
| LNU03032229 | 2012 |  M04   |  9197 |           |
| LNU03032229 | 2012 |  M03   | 10106 |           |
| LNU03032229 | 2012 |  M02   | 10517 |           |
| LNU03032229 | 2012 |  M01   | 10736 |           |
| LNU03032229 | 2011 |  M12   |  9956 |           |
| LNU03032229 | 2011 |  M11   |  9740 |           |
| LNU03032229 | 2011 |  M10   | 10126 |           |
| LNU03032229 | 2011 |  M09   | 10375 |           |
| LNU03032229 | 2011 |  M08   | 10524 |           |
| LNU03032229 | 2011 |  M07   | 10515 |           |
| LNU03032229 | 2011 |  M06   | 10733 |           |
| LNU03032229 | 2011 |  M05   | 10628 |           |
| LNU03032229 | 2011 |  M04   | 10560 |           |
| LNU03032229 | 2011 |  M03   | 11288 |           |
| LNU03032229 | 2011 |  M02   | 11641 |           |
| LNU03032229 | 2011 |  M01   | 11778 |           |
+-------------+------+--------+-------+-----------+
