,RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30
0,102001,0,United States,Country,,37.0,32.0,26.0,19.0,18.0,18.0,20.0,22.0,25.0,28.0,31.0,36.0,40.0,37.0,31.0,23.0,20.0,20.0,21.0,24.0,26.0,27.0,30.0,35.0,38.0,35.0,26.0,19.0,18.0,18.0,16.0,14.0,13.0
1,394913,1,"New York, NY",Msa,NY,63.0,56.0,46.0,35.0,36.0,39.0,42.0,47.0,51.0,53.0,55.0,59.0,66.0,65.0,57.0,46.0,43.0,44.0,48.0,54.0,58.0,58.0,58.0,61.0,70.0,68.0,59.0,48.0,48.0,43.0,37.0,28.0,29.0
2,753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,21.0,19.0,16.0,14.0,15.0,15.0,17.0,19.0,22.0,24.0,27.0,31.0,35.0,34.0,28.0,22.0,20.0,20.0,20.0,21.0,22.0,23.0,24.0,26.0,25.0,21.0,15.0,14.0,15.0,16.0,14.0,14.0,13.0
3,394463,3,"Chicago, IL",Msa,IL,48.0,40.0,26.0,15.0,13.0,15.0,17.0,21.0,25.0,29.0,34.0,42.0,50.0,45.0,33.0,19.0,17.0,18.0,21.0,24.0,28.0,32.0,37.0,45.0,52.0,45.0,33.0,21.0,20.0,19.0,16.0,14.0,13.0
4,394514,4,"Dallas-Fort Worth, TX",Msa,TX,35.0,31.0,26.0,21.0,20.0,21.0,22.0,25.0,28.0,32.0,35.0,37.0,41.0,38.0,34.0,28.0,26.0,26.0,28.0,30.0,34.0,36.0,39.0,42.0,45.0,41.0,35.0,28.0,27.0,27.0,25.0,24.0,23.0
5,394974,5,"Philadelphia, PA",Msa,PA,47.0,48.0,41.0,30.0,26.0,27.0,28.0,27.0,27.0,28.0,30.0,36.0,41.0,38.0,29.0,20.0,16.0,17.0,19.0,22.0,23.0,23.0,24.0,31.0,36.0,32.0,22.0,16.0,15.0,15.0,11.0,9.0,11.0
6,394692,6,"Houston, TX",Msa,TX,35.0,31.0,25.0,18.0,16.0,17.0,19.0,22.0,27.0,31.0,33.0,35.0,37.0,41.0,35.0,29.0,21.0,21.0,23.0,26.0,30.0,33.0,35.0,37.0,41.0,37.0,29.0,23.0,22.0,23.0,20.0,18.0,17.0
7,395209,7,"Washington, DC",Msa,DC,41.0,41.0,35.0,26.0,24.0,21.0,19.0,18.0,19.0,21.0,24.0,30.0,32.0,27.0,17.0,11.0,10.0,12.0,15.0,17.0,18.0,18.0,20.0,25.0,25.0,20.0,12.0,9.0,9.0,10.0,8.0,7.0,9.0
8,394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,43.0,41.0,38.0,36.0,36.0,37.0,36.0,36.0,36.0,38.0,40.0,43.0,49.0,50.0,49.0,46.0,45.0,44.0,42.0,42.0,43.0,43.0,43.0,44.0,48.0,46.0,42.0,38.0,41.0,41.0,39.0,33.0,29.0
9,394347,9,"Atlanta, GA",Msa,GA,25.0,21.0,15.0,11.0,10.0,10.0,11.0,13.0,15.0,17.0,20.0,24.0,26.0,26.0,21.0,17.0,14.0,14.0,16.0,18.0,20.0,22.0,24.0,28.0,32.0,30.0,23.0,18.0,17.0,19.0,18.0,16.0,15.0
