,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
0,12/08/2020,NM,109947,,,0,0.0,1756,,,0,0.0,12/09/2020 02:45:40 PM,,Not agree
1,01/01/2021,FL,1300528,,,0,6063.0,21673,,,0,7.0,01/02/2021 02:50:51 PM,Not agree,Not agree
2,04/30/2020,IA,7145,,,302,0.0,162,,,14,0.0,05/01/2020 09:00:19 PM,Not agree,Not agree
3,06/25/2020,NE,18346,,,125,0.0,260,,,3,0.0,06/26/2020 07:18:27 PM,Not agree,Not agree
4,02/24/2020,CA,10,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
5,11/14/2020,VA,201961,183455.0,18506.0,1161,191.0,3800,3527.0,273.0,1,0.0,11/15/2020 03:12:13 PM,Agree,Agree
6,12/02/2020,NY,346492,,,5775,0.0,10117,,,56,0.0,12/03/2020 03:21:08 PM,Not agree,Not agree
7,01/23/2020,WY,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
8,05/05/2020,GA,28196,28182.0,14.0,602,1.0,1258,1258.0,0.0,47,0.0,05/06/2020 12:23:08 PM,Agree,Agree
9,01/24/2021,IN,611039,,,2520,0.0,9716,9340.0,376.0,23,0.0,01/25/2021 02:42:40 PM,Not agree,Agree
10,08/23/2020,TN,143937,141000.0,2937.0,1854,38.0,1567,1527.0,40.0,4,0.0,08/24/2020 01:54:34 PM,Agree,Agree
11,06/21/2020,OR,6937,6700.0,237.0,187,237.0,190,188.0,2.0,1,2.0,06/22/2020 03:24:02 PM,Agree,Agree
12,04/01/2020,VA,1706,,,222,,41,,,7,,03/31/2020 04:22:39 PM,Agree,Agree
13,03/13/2020,MS,1,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
14,12/10/2020,WY,38223,33203.0,5020.0,338,24.0,299,299.0,0.0,0,0.0,12/11/2020 03:06:51 PM,Agree,Agree
15,07/29/2020,NV,46021,,,870,0.0,806,,,21,0.0,07/30/2020 02:42:43 PM,,
16,07/14/2020,OK,20922,20755.0,167.0,521,11.0,424,424.0,0.0,0,0.0,07/15/2020 03:05:12 PM,Agree,Agree
17,12/02/2020,AR,161521,,,2212,705.0,2522,,,10,2.0,12/03/2020 03:21:08 PM,Not agree,Not agree
18,05/14/2020,VA,28672,27293.0,1379.0,859,35.0,977,944.0,33.0,22,5.0,05/15/2020 04:11:22 PM,Agree,Agree
19,01/09/2021,AR,251746,,,2886,735.0,4010,,,44,10.0,01/10/2021 04:10:55 PM,Not agree,Not agree
20,03/15/2020,MA,164,,,55,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
21,08/05/2020,WY,2923,2424.0,499.0,39,7.0,27,27.0,0.0,0,0.0,08/06/2020 02:12:27 PM,Agree,Agree
22,10/28/2020,ID,61785,54193.0,7592.0,862,208.0,599,555.0,44.0,14,0.0,10/29/2020 02:11:33 PM,Agree,Agree
23,08/18/2020,AZ,194920,193416.0,1504.0,915,13.0,4529,4273.0,256.0,23,2.0,08/19/2020 02:23:51 PM,Agree,Agree
24,11/17/2020,GA,430571,391466.0,39105.0,4335,799.0,9008,8496.0,512.0,41,16.0,11/18/2020 02:57:46 PM,Agree,Agree
25,04/14/2020,OH,7280,7153.0,127.0,305,33.0,324,,,56,,04/13/2020 04:22:39 PM,Agree,Agree
26,11/09/2020,TX,1038964,,,4849,-1936.0,18769,,,26,0.0,12/22/2020 10:17:06 PM,Not agree,Not agree
27,06/05/2020,RMI,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,06/06/2020 02:31:37 PM,Agree,Agree
28,04/09/2020,FL,16323,,,1089,,371,,,48,,04/08/2020 04:22:39 PM,Not agree,Not agree
29,03/18/2020,OR,75,,,10,,3,,,2,,03/26/2020 04:22:39 PM,Agree,Agree
30,05/26/2020,AS,0,,,0,0.0,0,,,0,0.0,05/27/2020 03:37:59 PM,,
31,12/19/2020,TX,1573888,,,17907,4102.0,25226,,,272,0.0,12/22/2020 10:17:06 PM,Not agree,Not agree
32,09/13/2020,MS,90018,84557.0,5461.0,144,38.0,2706,2523.0,183.0,9,0.0,09/14/2020 02:01:21 PM,Agree,Agree
33,09/22/2020,PR,42660,20439.0,22221.0,64,24.0,617,447.0,170.0,4,0.0,09/23/2020 01:51:22 PM,Agree,Agree
34,11/03/2020,NY,248091,,,1519,0.0,9290,,,8,0.0,11/04/2020 03:03:00 PM,Not agree,Not agree
35,09/23/2020,NE,42278,,,493,0.0,462,,,1,0.0,09/24/2020 01:54:02 PM,Not agree,Not agree
36,10/06/2020,ID,45082,40685.0,4397.0,660,106.0,492,452.0,40.0,5,0.0,10/07/2020 01:45:01 PM,Agree,Agree
37,08/20/2020,LA,140821,,,918,0.0,4637,4496.0,141.0,28,0.0,08/21/2020 02:27:34 PM,Not agree,Agree
38,05/27/2020,WI,16462,16462.0,0.0,599,0.0,539,539.0,0.0,22,0.0,05/28/2020 03:12:25 PM,Agree,Agree
39,03/17/2020,NM,23,,,2,,0,,,0,,03/26/2020 04:22:39 PM,,Not agree
40,03/11/2020,NY,164,,,27,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
41,12/29/2020,TX,1715978,,,32552,4532.0,26762,,,241,0.0,12/30/2020 02:56:20 PM,Not agree,Not agree
42,11/17/2020,OK,169762,143221.0,26541.0,7389,1406.0,1592,1531.0,61.0,49,6.0,11/18/2020 02:57:46 PM,Agree,Agree
43,01/12/2021,IA,298406,,,1105,460.0,4222,,,83,83.0,01/13/2021 02:44:58 PM,Not agree,Not agree
44,03/09/2020,NYC,17,,,5,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
45,01/11/2021,ND,94968,91357.0,3611.0,138,89.0,1355,,,3,0.0,01/12/2021 02:48:35 PM,Agree,Not agree
46,12/24/2020,ND,91222,88587.0,2635.0,274,4.0,1264,,,4,0.0,12/25/2020 02:25:34 PM,Agree,Not agree
47,10/30/2020,TN,259488,244886.0,14602.0,2608,297.0,3341,3156.0,185.0,78,9.0,10/31/2020 01:30:31 PM,Agree,Agree
48,10/28/2020,AR,108640,,,961,271.0,1875,,,18,0.0,10/29/2020 02:11:33 PM,Not agree,Not agree
49,09/07/2020,WV,11575,11368.0,207.0,163,9.0,247,,,1,0.0,09/08/2020 02:47:00 PM,Agree,Not agree
50,07/31/2020,IN,66154,,,901,0.0,2965,2765.0,200.0,19,0.0,08/01/2020 02:38:12 PM,Not agree,Agree
51,05/05/2020,WA,15594,,,132,0.0,862,,,21,0.0,05/06/2020 04:23:08 PM,,
52,02/27/2020,AS,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,
53,10/07/2020,SC,153705,148334.0,5371.0,735,201.0,3502,3300.0,202.0,31,6.0,10/08/2020 01:56:57 PM,Agree,Agree
